date,id,content,user,place_id,reply_count,like_count,retweet_count,retweeted_tweet
2019-12-30 19:54:31+00:00,1211737347198537728,"@Zalmodegicos @RuthPtn @DawnRoseTurner @ToddMcKissick @Jackthelad1947 @NeurozoInnovat1 @ristori20 @kashthefuturist @AdamRogers2030 @ReclaimAnglesea @debraruh @HansLak @SusanHeaney @matthewshirts @seth_leitman @AmazingChevVolt @1o5CleanEnergy @kirillklip @autrement_votre @TXsharon @jellsmoor @rtoinsider @Bookfoolery @lillith6 @charluv2011 @cberrl @MichaelEMann @mzjacobson @ShiCooks @ProfStrachan @stracma @p_hannam @iron_light @gezgintrk @MarcVegan @Firefly_Power @AKimCampbell @HeinzVHoenen @bluedillygal @NoFascistLies @1CaptD @Triplejay58 @Wipapa5 @JosephPrigith @yuvi_nation @NancySinatra #ClimateEmergency Great Talk
@GretaThunberg &amp; Sir David Attenborough
Please Share!

#ClimateStrike #FridaysForFuture #ClimateCrisis #ExtinctionRebellion #EnergyTransition #RenewableEnegy #eMobility #firedrillfriday #CO2
@MarkRuffalo @Anne_Hidalgo @underoak
https://t.co/riFfy2XwuN",arikring,,64,1209,1375,
2019-12-29 19:23:42+00:00,1211367205801201669,"She's 16. She has Aspergers. She's addressed the UN. In her own words - ""you are never too small to make a difference"". 

On Monday @GretaThunberg, founder of #fridaysforfuture, guest edits @BBCr4today

#r4today

https://t.co/cT9cWXOyuK",BBCNewsPR,,256,1046,264,
2019-12-29 11:00:25+00:00,1211240547807121408,"""Never doubt that a small group of thoughtful, committed citizens can change the world; indeed, it's the only thing that ever has."" - Margaret Mead
.
It happened in just one year. The movement is only growing stronger. 

#ClimateStrike #FridaysForFuture https://t.co/N0RRWTP2Jk",Greenpeace,,7,789,313,
2019-12-28 09:35:17+00:00,1210856737072283648,"I’m Licypriya. I’m 8 years old. I dropped out my school at the age of 7 to protest every week in front of the Parliament of India. This #ClimateStrike was my best in 2019. I’m fighting for my future &amp; the planet.
#FridaysForFuture #ChildMovement
@GretaThunberg @Fridays4future https://t.co/Al8vFiBPtl",LicypriyaK,"Place(id='b850c1bfd38f30e0', fullName='India', name='India', type='country', country='India', countryCode='IN')",18,1196,290,
2019-12-27 22:18:30+00:00,1210686420802822144,"China Just Turned On the World’s Largest Floating #Solar Farm.

We have solutions to the #climate crisis, let's implement them. There is no time to waste. 

#ClimateStrike #FridaysforFuture #Klimastreik #GreenNewDeal #PanelsNotPipelines https://t.co/p1oMfrY3ni",MikeHudema,,32,845,448,
2019-12-27 21:20:19+00:00,1210671777417961473,"This film of a man releasing a trapped turtle only to discover its turtle friend was patiently waiting for it to be freed is a reminder of the beauty of #nature &amp; the relationship we should have with it. 
#FridaysForFuture #FridayMotivation #FridayVibes 
https://t.co/sASt1d9uRQ",bmay,,24,1074,251,
2019-12-27 17:23:53+00:00,1210612276169826304,"#week43
#climatestrike #Mumbai Forests are burning,
Deserts r snowing,
Destruction of crops due to unseasonal rainfall and bad weather,
Cities r choking due to air pollution,
Marine life vanishing slowly, 1/2.
#FridaysForFuture
#ClimateEmergency 
@GretaThunberg 
@ https://t.co/mZQu82G8tt",fffmumbai1,,48,2220,470,
2019-12-27 15:15:47+00:00,1210580041190584320,"She's 16. She has Aspergers. She's addressed the UN. In her own words - ""you are never too small to make a difference"". On Monday @GretaThunberg, founder of #fridaysforfuture, guest edits our programme. #r4today https://t.co/KfDkHJxEgz",BBCr4today,,281,2295,663,
2019-12-27 15:13:03+00:00,1210579350048903168,This is Dublin #fridaysforfuture Week 55. Happy new year everyone. Fair play to these dedicated people keeping the momentum going during the holidays. Looking forward to a very activist 2020. #ClimateEmergency @GretaThunberg https://t.co/VV60jJyBmn,Janemellett,,43,2136,307,
2019-12-27 12:30:23+00:00,1210538414568808453,"Africa's need for adapting to extreme weather events, many of them linked to #ClimateCrisis impacts, is becoming increasingly urgent.

#schoolstrike4climate week 46.
#FridaysForFuture #BanPlasticUG https://t.co/asudMGmQVd",NamugerwaLeah,,28,2401,406,
2019-12-27 07:37:47+00:00,1210464779506204675,"School strike week 71.
#fridaysforfuture #climatestrike #schoolstrike4climate https://t.co/UaIJSnDrP2",GretaThunberg,,742,45474,4205,
2019-12-27 02:43:16+00:00,1210390661230297088,"Climate Strike Sydney
Week 16.

In solidarity with those affected by the bushfires and the incredible firefighters risking their lives for others. Also with those impacted by the #ClimateEmergency globally.

#FridaysForFuture @GretaThunberg #ClimateStrike @fff_Sydney #bushfires https://t.co/eSDWJF1FJk",Patsyip_,,48,2698,444,
2019-12-26 18:14:05+00:00,1210262522986672131,"Arshak @MakichyanA, Russian Fridays for Future activist, has been released today after his 6-day sentence in prison for organising a protest.

In this video, recorded after one of arrests in November, Arshak explains what is driving Russian activists.
#LetRussiaStrikeForClimate https://t.co/gigtqihzld",ExtinctionR,,11,438,185,
2019-12-22 14:14:22+00:00,1208752644757393408,"We stand with Russian youth climate activist Arshak Makichyan - who was sentenced to 6 days in detention on Friday for peacefully protesting - and call for his immediate release. Arshak has held climate strikes for 40 wks straight as part of #FridaysForFuture. 

#FreeArshak https://t.co/TjxDcLLpYJ",Greenpeace,,11,763,299,
2019-12-22 11:21:36+00:00,1208709165239164929,"You ignore science at your peril. 
#ClimateCrisis #ClimateEmergency #FridaysForFuture #FireMorrison @IPCC_CH https://t.co/ksmoq4Lzyx",rahmstorf,,6,312,154,
2019-12-21 18:47:01+00:00,1208458872643620864,"#LetRussiaStrikeForClimate
Arshak Makichyan, Russian Fridays for Future activist, has been sentenced to 6 days in prison yesterday for organizing a protest on October 25th in Russia. 🌍
@MakichyanA @RebellionRussia https://t.co/Tr8seafvcz",ExtinctionR,,21,384,169,
2019-12-21 10:50:44+00:00,1208339008931033088,"Week42 of climate strike in #Mumbai 
Students &amp; youth strike for #ClimateJustice 
#Mumbai's AQI is deteriorating ,&amp; now since a month it's above 200 in very poor category..
The series of non seasonal rainfall still continues to destroy farmers vegetation..
#FridaysForFuture https://t.co/Jvx9cQz2IS",fffmumbai1,,84,1911,366,
2019-12-20 21:17:05+00:00,1208134246667374596,"Week 43!

We are still fighting and we will not stop for the holidays. 

We stand in solidarity with the people currently suffering from a negligent leader during a time of crisis in Australia. #FridaysForFuture #ClimateCrisis #AustraliaFires #AustraliaBurns https://t.co/yEOxl69SEh",FFFLimerick,,54,2144,350,
