date,id,content,user,place_id,reply_count,like_count,retweet_count,retweeted_tweet
2019-12-30 21:23:00+00:00,1211759614779215872,Watch the moving moment Greta Thunberg revealed to filmmaker David Attenborough that his documentaries on the climate crisis spurred her to action https://t.co/JiHLQvwAO7,nowthisnews,,25,2180,477,
2019-12-30 20:58:42+00:00,1211753501434556419,Greta Thunberg Says 'I Wouldn't Have Wasted My Time' On Meeting With Donald Trump: 'He's Not Listening To Scientists' https://t.co/emYy6rX1Eo,realTuckFrumper,,18,645,181,
2019-12-30 19:39:24+00:00,1211733542440521728,"If you will eat avocado for breakfast, what do you expect. #GretaThunberg ⁦@GretaThunberg⁩ #r4today ⁦@afneil⁩ ⁦@JuliaHB1⁩ #piersmorgan https://t.co/TMTrWsFIxn",rebeccabutlerm2,,120,930,372,
2019-12-30 18:16:24+00:00,1211712654454251520,"""You have woken up the world"": Naturalist Sir David Attenborough applauds climate activist Greta Thunberg as she thanks him for inspiring her through his nature documentaries. https://t.co/z0vAKUF66L https://t.co/6Lxoy19Mvc",ABC,,104,1835,383,
2019-12-30 18:08:48+00:00,1211710743025979392,'It's nice to meet you': Greta Thunberg and David Attenborough speak over Skype – video https://t.co/10fIMZelK1,guardian,,53,870,148,
2019-12-30 16:09:03+00:00,1211680606951751680,"Attacks on Greta Thunberg disguised as 'supporting of her' are often pure gaslighting. 

Reality:

● She isn't mentally ill

● She wasn't manipulated into doing it

● She is RIGHT

Asperger's isn't an illness but a spectrum of human capacity - which humanity benefits from",WillBlackWriter,,28,1992,512,
2019-12-30 15:32:40+00:00,1211671453101363201,Greta Thunberg: I Wouldn’t Have Wasted My Time Meeting With Trump https://t.co/QrcawOu8hI,realTuckFrumper,,41,789,188,
2019-12-30 15:07:58+00:00,1211665234680668161,Greta Thunberg: 'I wouldn't have wasted my time' with Trump meeting | TheHill https://t.co/Ognhc7MNCK #SmartNews,LisaKeel9,,87,993,324,
2019-12-30 14:35:35+00:00,1211657084082765824,"I know it’s weird, but I have no desire to hear what a sixteen year old girl with special needs and an unfinished high school education has to say about complex scientific models.

#GretaThunberg",TheAliceSmith,,80,1676,430,
2019-12-30 14:05:37+00:00,1211649545144287233,"Greta Thunberg will shame anyone who flies in an airplane.

Yet, she had a BBC reporter fly in an airplane to interview her in her hometown of Stockholm, Sweden.

If you didn’t already know Greta was a hypocrite, well now you do!",DanielTurnerPTF,,98,2677,545,
2019-12-30 13:49:57+00:00,1211645603144450049,"Greta Thunberg said today she wouldn't have wasted her time meeting with Trump at September's UN climate summit:

""Obviously he’s not listening to scientists and experts, so why would he listen to me?"" https://t.co/Qe6ty4tnZY",axios,,144,928,194,
2019-12-30 13:31:30+00:00,1211640958070210560,"Greta Thunberg is a 16-year-old child
Greta Thunberg battles Depression
Great Thunberg has Asperger syndrome 

The President of the United States cyberbullies her on Twitter.

That's all anyone needs to know on November 3, 2020.

PERIOD!",DarkBrandon2020,,27,1162,327,
2019-12-30 13:28:06+00:00,1211640102671310848,"JUST IN: Greta Thunberg: ""I wouldn't have wasted my time"" with Trump meeting https://t.co/OJ6bTkbfOq https://t.co/eaFMwZNt8E",thehill,,1167,1843,292,
2019-12-30 12:40:04+00:00,1211628015119142912,"Greta Thunberg's father says he initially did not support his daughter's climate activism, calling it a ""bad idea,"" but his view changed when he saw how happy it made her. https://t.co/jvmD75J9hY",CNN,,964,10737,1154,
2019-12-30 11:00:02+00:00,1211602842076753920,"Greta Thunberg was so traumatised by green propaganda that she did not eat, speak or attend school. School-striking children are now terrified of the future. The adults hiding their agenda behind children have caused untold harm, says @clim8resistance
https://t.co/epkQB00cbo",spikedonline,,36,652,233,
2019-12-30 07:52:48+00:00,1211555723903193088,"Greta Thunberg is a rather sad young woman imo. She is a bit scary too. But, what really worries is that the BBC &amp; other media give her such access and credence. No other 16 year old is similarly treated. What on earth is going on? It's like something from science fiction. #1984",YardleyShooting,,180,1862,415,
2019-12-30 07:48:14+00:00,1211554575087493120,"Should we let Greta Thunberg, a profoundly disturbed young woman, dictates to us? She's no scientist. She has no professional understanding of the issues. She's a teenager it seems obsessed with a single issue that's been a respite from her own despair &amp; more generalized angst.",YardleyShooting,,87,648,168,
2019-12-30 02:15:08+00:00,1211470743973900293,"Over the past decade, the global death rate from air pollution fell by 19 percent.

Greta Thunberg won’t tell you this.

AOC won’t tell you this.

The media won’t tell you this.

They want you to believe pollution is getting worse when in reality air quality is improving!",DanielTurnerPTF,,52,2041,671,
2019-12-29 23:45:01+00:00,1211432967769337857,Divina mistaking Greta Gerwig for Greta Thunberg is truly sending me. https://t.co/AtTcX5SXSY,evanrosskatz,,11,1747,121,
2019-12-29 09:34:33+00:00,1211218941592424451,"I'm looking forward to being a guest on Greta Thunberg's edition of BBC Radio 4's Today programme, Monday 30th December, 6-9am UK time, I'll be joining live at 7.15am",KateRaworth,,75,3099,771,
2019-12-29 04:59:00+00:00,1211149595075588096,"""The bile thrown at Greta Thunberg is motivated by one thing alone: this incredibly intelligent, eloquent, and compassionate 16-year-old has terrified some of the most hateful and reactionary so-called 'grown ups' on earth,""

#ActOnClimate #ClimateCrisis https://t.co/MQqGBBvtCR",PaulEDawson,,7,275,144,
2019-12-29 02:30:01+00:00,1211112105421746176,Marionette Strings Clearly Visible During Greta Thunberg Testimony #TheBestOfTheBee2019 https://t.co/t0Wf1FAwTX,TheBabylonBee,,39,1675,226,
2019-12-29 00:28:50+00:00,1211081607865614337,"Well, we’ve already seen Trump’s jealous meltdown over Greta Thunberg on the cover of Time magazine and his recent Twitter rage against Nancy Pelosi over his impeachment. 

What will Trump do when women rule in 2020⁉️

#OneVoice1
#WTP2020 https://t.co/BXLbQCcRxm",MsButterflyyy,,33,390,160,
2019-12-28 23:00:20+00:00,1211059336967000065,Greta Thunberg Mural Equipped With Laser Eyes That Shoot At SUVs #BestOfTheBee2019 https://t.co/gnIOodxRpH,TheBabylonBee,,23,1067,168,
2019-12-28 00:07:46+00:00,1210713915182604289,"You just got ‘OK Boomer’ed. Choose a subclass:

- Greta Thunberg ranter 
- Trump 2020 supporter
- Pyramid scheme enthusiast
- Reader’s Digest commemorative plate collector (Limited Edition!)
- Manual car transmission evangelist
- Carpeted toilet
- ‘I worked hard to get here!’",CateSpice,,123,1639,253,
2019-12-27 17:35:20+00:00,1210615159233888256,"Remember guys, it's just 5 days until the UK is ""plunged into a Siberian climate.""

From the same trustworthy people who gave you mass starvation of humanity by the 80's, ""ice free"" Arctic summers by 2013 and Greta Thunberg.

You can trust them. https://t.co/afGut28mXv",PrisonPlanet,,103,2012,696,
2019-12-27 14:09:00+00:00,1210563231489634305,"“We are far more intelligent, aware, educated than most people are giving us credit for.”

Indigenous climate activist @xiuhtezcatl responds to criticism young campaigners like Greta Thunberg are being used as puppets. Full episode w/@mehdirhasan 1930GMT &amp; https://t.co/poEzxDwsrz https://t.co/EGWboQjkFB",AJUpFront,,26,842,382,
2019-12-26 22:55:02+00:00,1210333223722668032,"After getting the election so wrong and facing accusations of existing in its own liberal, metropolitan bubble, it is good to see the BBC working hard to change perceptions, with guest editing slots on Today for Baroness Hale and Greta Thunberg.",BLazarus1,,199,1880,458,
2019-12-26 15:26:08+00:00,1210220256112889858,"@realDonaldTrump Again, I will say that I am a 21-year Army veteran who just retired last year. And with all that experience, I would go to war for Greta Thunberg before I would for Donald Trump. Commander-in-Chief, my ass. #GretaThunbergOutdidTrump #TimePersonoftheYear2019",PeoplesCourt79,,277,2193,181,
2019-12-26 11:50:03+00:00,1210165874876960770,gonna tell my kids this was greta thunberg https://t.co/z9yGj0hBEv,aritzdlp,,19,11120,3480,
2019-12-26 10:59:00+00:00,1210153028566650882,"How petty, how small, how childish do those politicians with the temerity to attack Greta Thunberg look!

She speaks for science, idealism and hope; they embody an ignorance or cynicism so deep as to constitute depravity.

#ActOnClimate #KeepItInTheGround https://t.co/1SUYCGn74U",PaulEDawson,,11,190,122,
2019-12-26 01:05:17+00:00,1210003614787395588,"Entitled Twat says what...

Meghan McCain: Greta Thunberg Didn’t ‘Earn’ Person of the Year.
 https://t.co/Mqcp704UFJ
via Eiggam5955",TomthunkitsMind,,411,479,170,
2019-12-25 19:09:52+00:00,1209914172999372811,last week #Meghan was criticised for her ‘very highly political stance’ in supporting #GretaThunberg. Today the #Queen admired ‘sense of purpose’ of young trying to protect the planet and has been praised for raising it.What will happen next time Meghan talks about climate? Hmm!,KateWilliamsme,,42,1200,182,
2019-12-25 10:23:39+00:00,1209781746453008385,"YOU ARE NOT PUTTING AUSTRALIANS FIRST! 
You failed to  take advice from the Head of Firies, and Home Affairs to equip this Nation 

Australian prime minister responds to Greta Thunberg's bushfires tweet: ""I'm not here to try and impress people overseas"" https://t.co/C8fjtAEkJF",Phoebe2302,,79,371,165,
2019-12-25 09:03:14+00:00,1209761507975692289,"What is it about the innocence of a child speaking the truth that is so disturbing to the powerful? 

#Christmas message here: https://t.co/eV8h0LntFN

#Auspol #ClimateEmergency #GretaThunberg https://t.co/bIZkCiEyfn",FrBower,,26,740,220,
2019-12-23 14:54:03+00:00,1209125018996744194,Greta Thunberg: Connect Australia’s Fires To Climate Crisis. Here’s What’s Actually Happening. https://t.co/rdwlMRC9go,RealSaavedra,,126,360,149,
2019-12-22 10:40:49+00:00,1208698900200263680,"The green movement went crazy this year. Its exploitation of Greta Thunberg was especially bad. It turned this poor young woman into the poster-girl for its mad apocalyptic fantasies. We really need a more sensible, reasoned debate about climate issues.

Brendan O’Neill on Sky: https://t.co/aFMYRCjkSt",spikedonline,,108,1626,509,
2019-12-21 23:24:09+00:00,1208528615404638208,#2019in5words Greta Thunberg led the way. https://t.co/8OXKp2nYkT,socialiststeve6,,121,4673,572,
2019-12-21 13:29:16+00:00,1208378904634888193,"Pro-Kremlin propagandists criticized Nancy Pelosi, Bill &amp; Hillary Clinton, Barack Obama, AOC &amp; Greta Thunberg, but found no fault in Trump. The host excused Trump boasts of grabbing women by their private parts by stating he was a proponent of “free love.”
https://t.co/TxClUQrZE4",JuliaDavisNews,,42,513,301,
2019-12-21 03:31:20+00:00,1208228432108302337,"@realDonaldTrump Again, I will say that I am a 21-year Army veteran who just retired last year. And with all that experience, I would go to war for Greta Thunberg before I would for Donald Trump. Commander-in-Chief, my ass. #GretaThunbergOutdidTrump #TimePersonoftheYear2019",PeoplesCourt79,,113,3369,228,
2019-12-20 18:36:18+00:00,1208093786624208898,"Ivanka Trump says father is 'energized' by impeachment fight.

Are you sure the energizering isn't from abusing eco-activist Greta Thunberg and recently-widowed Congresswoman Debbie Dingell?
https://t.co/thotVB2VVe",confunctionist,,402,1173,294,
2019-12-20 13:28:43+00:00,1208016378642468867,"@realDonaldTrump Hey Trump loving Evangelicals: In the last week Trump has mocked 16 year old Greta Thunberg, mocked the late Rep John Dingell as being in hell and now ridiculed Christians who dare criticize him.

How exactly is Trump following the teachings of Jesus again?!",DeanObeidallah,,89,2012,426,
2019-12-20 12:14:11+00:00,1207997621274628097,"@realDonaldTrump Again, I will say that I am a 21-year Army veteran who just retired last year. And with all that experience, I would go to war for Greta Thunberg before I would for Donald Trump. Commander-in-Chief, my ass. #GretaThunbergOutdidTrump #TimePersonoftheYear2019",PeoplesCourt79,,92,2895,222,
2019-12-20 01:58:17+00:00,1207842624641609728,"@realDonaldTrump Again, I will say that I am a 21-year Army veteran who just retired last year. And with all that experience, I would go to war for Greta Thunberg before I would for Donald Trump. Commander-in-Chief, my ass. #GretaThunbergOutdidTrump #TimePersonoftheYear2019",PeoplesCourt79,,223,2462,164,
2019-12-19 17:54:28+00:00,1207720871848300546,"Instagram is now ‘fact-checking’ and removing memes, including one that sought to make fun out of climate activist Greta Thunberg’s hypocrisy.

https://t.co/REl2HpL5aB",PrisonPlanet,,116,1744,541,
2019-12-19 07:18:54+00:00,1207560923990200320,"LOOK at the OSCAR Level OVERACTING By this Sasta Greta Thunberg ""Protestor"" PAID - TO OVERACT So that his Pics will be splashed in Newspapers &amp; by Presstitutes As Oppression by BJP #IndiaSupportsCAA #CongressSponsoredViolence #CAASupport #MumbaikarsAgainstCAB #BangaloreProtest https://t.co/cQ0tzwkdo1",rose_k01,,144,1045,436,
2019-12-19 06:09:29+00:00,1207543454835728385,"How does MAGA or anybody defend what Trump said last week about Greta Thunberg and this week about John &amp; Debbie Dingell?

... such a pig. https://t.co/wmKL0KL15t",BillyBaldwin,,85,1344,147,
